pre_depth;post_depth;offset;action;timestamp;operation;pid;size
0;1;166002688;D;0.011744074;OP_READ;14335;4096
1;0;166002688;C;0.011861190;OP_READ;0;4096
0;1;142704640;D;0.011872434;OP_READ;14335;4096
1;0;142704640;C;0.011987871;OP_READ;0;4096
0;1;166232064;D;0.011998532;OP_READ;14335;4096
1;0;166232064;C;0.012116604;OP_READ;0;4096
0;1;142802944;D;0.012124544;OP_READ;14335;4096
1;0;142802944;C;0.012224055;OP_READ;0;4096
0;1;166461440;D;0.012231766;OP_READ;14335;4096
1;0;166461440;C;0.012347940;OP_READ;0;4096
0;1;142901248;D;0.012356581;OP_READ;14335;4096
1;0;142901248;C;0.012456060;OP_READ;0;4096
0;1;166690816;D;0.012463258;OP_READ;14335;4096
1;0;166690816;C;0.012578974;OP_READ;0;4096
0;1;142999552;D;0.012586140;OP_READ;14335;4096
1;0;142999552;C;0.012684910;OP_READ;0;4096
0;1;166920192;D;0.012692422;OP_READ;14335;4096
1;0;166920192;C;0.012809657;OP_READ;0;4096
0;1;143097856;D;0.012817434;OP_READ;14335;4096
1;0;143097856;C;0.012917750;OP_READ;0;4096
0;1;167149568;D;0.012929337;OP_READ;14335;4096
1;0;167149568;C;0.013047169;OP_READ;0;4096
0;1;143196160;D;0.013054395;OP_READ;14335;4096
1;0;143196160;C;0.013152933;OP_READ;0;4096
0;1;167378944;D;0.013161010;OP_READ;14335;4096
1;0;167378944;C;0.013276253;OP_READ;0;4096
0;1;167608320;D;0.013287098;OP_READ;14335;4096
1;0;167608320;C;0.013403934;OP_READ;0;4096
0;1;143392768;D;0.013411314;OP_READ;14335;4096
1;0;143392768;C;0.013510208;OP_READ;0;4096
0;1;167837696;D;0.013517595;OP_READ;14335;4096
1;0;167837696;C;0.013617097;OP_READ;0;4096
0;1;143491072;D;0.013624476;OP_READ;14335;4096
1;0;143491072;C;0.013723788;OP_READ;0;4096
0;1;168067072;D;0.013730879;OP_READ;14335;4096
1;0;168067072;C;0.013829905;OP_READ;0;4096
0;1;143589376;D;0.013837348;OP_READ;14335;4096
1;0;143589376;C;0.013934860;OP_READ;0;4096
0;1;168296448;D;0.013942982;OP_READ;14335;4096
1;0;168296448;C;0.014042988;OP_READ;0;4096
0;1;143687680;D;0.014050545;OP_READ;14335;4096
1;0;143687680;C;0.014147739;OP_READ;0;4096
0;1;168525824;D;0.014154782;OP_READ;14335;4096
1;0;168525824;C;0.014252971;OP_READ;0;4096
0;1;143785984;D;0.014260090;OP_READ;14335;4096
1;0;143785984;C;0.014360145;OP_READ;0;4096
0;1;168755200;D;0.014367936;OP_READ;14335;4096
1;0;168755200;C;0.014465861;OP_READ;0;4096
0;1;143884288;D;0.014473604;OP_READ;14335;4096
1;0;143884288;C;0.014573237;OP_READ;0;4096
0;1;168984576;D;0.014580131;OP_READ;14335;4096
1;0;168984576;C;0.014680448;OP_READ;0;4096
0;1;169213952;D;0.014691882;OP_READ;14335;4096
1;0;169213952;C;0.014791441;OP_READ;0;4096
0;1;144080896;D;0.014799261;OP_READ;14335;4096
1;0;144080896;C;0.014900596;OP_READ;0;4096
0;1;169443328;D;0.014907635;OP_READ;14335;4096
1;0;169443328;C;0.015004969;OP_READ;0;4096
0;1;144179200;D;0.015011839;OP_READ;14335;4096
1;0;144179200;C;0.015111005;OP_READ;0;4096
0;1;169672704;D;0.015118471;OP_READ;14335;4096
1;0;169672704;C;0.015218819;OP_READ;0;4096
0;1;144277504;D;0.015226284;OP_READ;14335;4096
1;0;144277504;C;0.015325368;OP_READ;0;4096
0;1;169902080;D;0.015332848;OP_READ;14335;4096
1;0;169902080;C;0.015430924;OP_READ;0;4096
0;1;144375808;D;0.015438665;OP_READ;14335;4096
1;0;144375808;C;0.015538445;OP_READ;0;4096
0;1;170131456;D;0.015545818;OP_READ;14335;4096
1;0;170131456;C;0.015662813;OP_READ;0;4096
0;1;144474112;D;0.015670292;OP_READ;14335;4096
1;0;144474112;C;0.015769409;OP_READ;0;4096
0;1;170360832;D;0.015776839;OP_READ;14335;4096
1;0;170360832;C;0.015893057;OP_READ;0;4096
0;1;144572416;D;0.015900305;OP_READ;14335;4096
1;0;144572416;C;0.016001297;OP_READ;0;4096
0;1;170590208;D;0.016008831;OP_READ;14335;4096
1;0;170590208;C;0.016125019;OP_READ;0;4096
0;1;170819584;D;0.016134366;OP_READ;14335;4096
1;0;170819584;C;0.016251566;OP_READ;0;4096
0;1;144769024;D;0.016258856;OP_READ;14335;4096
1;0;144769024;C;0.016376370;OP_READ;0;4096
0;1;171048960;D;0.016387916;OP_READ;14335;4096
1;0;171048960;C;0.016505510;OP_READ;0;4096
0;1;144867328;D;0.016513440;OP_READ;14335;4096
1;0;144867328;C;0.016629126;OP_READ;0;4096
0;1;171278336;D;0.016636162;OP_READ;14335;4096
1;0;171278336;C;0.016754294;OP_READ;0;4096
0;1;144965632;D;0.016762180;OP_READ;14335;4096
1;0;144965632;C;0.016879637;OP_READ;0;4096
0;1;171507712;D;0.016887213;OP_READ;14335;4096
